Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src
organic-red-chili-powder,Organic Red Chili Powder (Lal Mirch),"<p>Not all chili powders are equal. Dalify's Organic Red Chili Powder is made exclusively from Kashmiri and Byadagi chili varieties — prized for their deep red color and medium heat that adds vibrancy without overwhelming the palate.</p><p>No artificial colors (no Sudan Red), no added salt, no fillers. Just sun-dried organic chilies, ground to a fine powder.</p><p><strong>Suggested use:</strong> Curries, marinades, dry rubs, chutneys, aloo sabzis.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,chili,lal mirch,red chili,kashmiri",TRUE,Weight,100g,DAL-CHI-100,100,50,99,
organic-red-chili-powder,,,,,,,,Weight,250g,DAL-CHI-250,250,40,219,
organic-red-chili-powder,,,,,,,,Weight,500g,DAL-CHI-500,500,30,389,
organic-garam-masala,Organic Garam Masala,"<p>Our Garam Masala is an homage to the spice blenders of old Delhi. A carefully balanced blend of organic cardamom, cloves, black pepper, cinnamon, cumin, coriander, and nutmeg — all sourced individually from their regions of provenance and blended in our facility.</p><p>No shortcuts, no fillers, no MSG. Add a pinch at the end of cooking to preserve the fragrant top notes.</p><p><strong>Suggested use:</strong> Dal, biryani, curries, kebabs, pulao, finishing spice.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,garam masala,spice blend,aromatic",TRUE,Weight,50g,DAL-GAR-50,50,60,129,
organic-garam-masala,,,,,,,,Weight,100g,DAL-GAR-100,100,50,219,
organic-garam-masala,,,,,,,,Weight,200g,DAL-GAR-200,200,30,389,
organic-mustard-seeds,Organic Mustard Seeds (Rai),"<p>Tiny but mighty — mustard seeds are the starting gun for most South Indian cooking. Dalify's Organic Mustard Seeds are sourced from Rajasthan's certified farms and are free from any pesticide residue.</p><p>Temper them in hot oil until they pop and release their nutty, pungent flavor, then build your dish from there.</p><p><strong>Suggested use:</strong> Tadka, South Indian curries, pickles, chutneys, rice dishes.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,mustard seeds,rai,sarson,tadka",TRUE,Weight,100g,DAL-MUS-100,100,50,69,
organic-mustard-seeds,,,,,,,,Weight,250g,DAL-MUS-250,250,40,149,
organic-fenugreek-seeds,Organic Fenugreek Seeds (Methi Dana),"<p>Fenugreek seeds carry a slight bitterness that — when used right — adds incredible complexity to Indian cooking. Dalify's Organic Methi Dana comes from Rajasthan farms with no chemical treatment.</p><p>Use sparingly in tadkas for sambar and dal, or soak overnight and sprout for a nutritious addition to your morning routine.</p><p><strong>Suggested use:</strong> Tadka, pickles, sprouting, sambar, fenugreek bread.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,fenugreek,methi,methi dana,sprouting",TRUE,Weight,100g,DAL-FEN-100,100,50,79,
organic-fenugreek-seeds,,,,,,,,Weight,250g,DAL-FEN-250,250,40,169,
organic-cardamom-green,Organic Green Cardamom (Elaichi),"<p>Dalify's Organic Green Cardamom pods are sourced from the lush cardamom hills of Idukki, Kerala — the world's finest cardamom growing region. Each pod is hand-picked at peak maturity, ensuring maximum essential oil content and that unmistakable floral-citrus aroma.</p><p>Use whole pods in chai, biryani, and kheer, or crack them open and grind the seeds for baking and desserts.</p><p><strong>Suggested use:</strong> Chai, biryani, kheer, desserts, lassi, flavored rice.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,cardamom,elaichi,green cardamom,kerala",TRUE,Weight,50g,DAL-CAR-50,50,40,199,
organic-cardamom-green,,,,,,,,Weight,100g,DAL-CAR-100,100,30,369,
organic-cloves,Organic Cloves (Laung),"<p>Hand-sorted whole cloves from Kerala's certified organic spice gardens. Our cloves have an intense eugenol content that gives them their characteristic warm, sweet-pungent flavor.</p><p>Essential in biryani, meat curries, and masala chai. Also widely used in home remedies for toothaches and digestive issues.</p><p><strong>Suggested use:</strong> Biryani, curries, chai, spice blends, pickling.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,cloves,laung,whole spices,biryani",TRUE,Weight,50g,DAL-CLO-50,50,40,149,
organic-cloves,,,,,,,,Weight,100g,DAL-CLO-100,100,30,279,
organic-black-pepper-whole,Organic Black Pepper Whole (Kali Mirch),"<p>Tellicherry black pepper — the gold standard of Indian pepper — from certified organic farms in Wayanad, Kerala. Larger berries, higher piperine content, more complex flavor than regular black pepper.</p><p>Our pepper is unbleached, fully ripened before harvest, and immediately sun-dried to lock in flavor. Grind fresh over your food or crack coarsely into marinades.</p><p><strong>Suggested use:</strong> Marinades, grills, soups, rasam, chai, all-purpose seasoning.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,black pepper,kali mirch,tellicherry,kerala",TRUE,Weight,100g,DAL-BPP-100,100,50,129,
organic-black-pepper-whole,,,,,,,,Weight,250g,DAL-BPP-250,250,30,289,
organic-kashmiri-red-chili-whole,Organic Kashmiri Red Chili (Whole),"<p>For color without the burn. Kashmiri chilies are famous for imparting a gorgeous deep-red hue to dishes while keeping the heat mild and approachable. Dalify sources these from certified organic farms in Jammu & Kashmir.</p><p>The go-to chili for rogan josh, butter chicken, and kebab marinades.</p><p><strong>Suggested use:</strong> Rogan josh, butter chicken, kebab marinades, soups.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,kashmiri chili,whole chili,mild,color",TRUE,Weight,100g,DAL-KCH-100,100,40,129,
organic-kashmiri-red-chili-whole,,,,,,,,Weight,200g,DAL-KCH-200,200,30,229,
organic-cinnamon-sticks,Organic Cinnamon Sticks (Dalchini),"<p>True Ceylon cinnamon (Cinnamomum verum), not the commonly sold cassia bark. Dalify sources authentic Ceylon cinnamon from Sri Lanka for a sweeter, more delicate flavor with lower coumarin content — safer for daily use.</p><p>Perfect for infusing into curries, biryanis, and chai.</p><p><strong>Suggested use:</strong> Biryani, curries, chai, desserts, flavored rice.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,cinnamon,dalchini,ceylon,whole spices",TRUE,Weight,50g,DAL-CIN-50,50,40,159,
organic-cinnamon-sticks,,,,,,,,Weight,100g,DAL-CIN-100,100,30,289,
organic-bay-leaves,Organic Bay Leaves (Tej Patta),"<p>Indian bay leaves (tej patta) have a distinct clove-cinnamon flavor profile quite different from Mediterranean laurel. Dalify's tej patta comes from organic farms in Uttarakhand.</p><p>Add whole leaves to hot oil at the start of cooking to infuse the oil with a subtle spice complexity.</p><p><strong>Suggested use:</strong> Biryani, pulao, curries, potato dishes, soups.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,bay leaves,tej patta,whole spices",TRUE,Weight,25g,DAL-BAY-25,25,60,69,
organic-bay-leaves,,,,,,,,Weight,50g,DAL-BAY-50,50,40,119,
organic-asafoetida,Organic Asafoetida (Hing) — Compound,"<p>A small pinch of hing transforms a humble dal into something memorable. Our compound asafoetida is made with a higher resin content than typical commercial varieties, giving you the pungent, savory depth associated with authentic Mughlai and Rajasthani cooking.</p><p>Just a tiny pinch (⅛ tsp) in hot ghee is all you need for a full pot of dal.</p><p><strong>Suggested use:</strong> Dal tadka, vegetable curries, pickles, digestive spice.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,hing,asafoetida,ferula,digestive",TRUE,Weight,25g,DAL-HIN-25,25,60,89,
organic-asafoetida,,,,,,,,Weight,50g,DAL-HIN-50,50,40,159,
organic-dry-mango-powder,Organic Dry Mango Powder (Amchur),"<p>Tart, tangy, and totally irreplaceable — amchur is what gives chaat its signature punch. Dalify's Organic Dry Mango Powder is made from unripe Alphonso mangoes sun-dried and ground without any additives.</p><p>Add it to aloo tikki, pav bhaji, or dal for a burst of sourness that cuts through richness beautifully.</p><p><strong>Suggested use:</strong> Chaat, aloo tikki, dal, vegetable stir-fries, marinades.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,amchur,dry mango powder,tangy,chaat",TRUE,Weight,100g,DAL-AMC-100,100,50,99,
organic-dry-mango-powder,,,,,,,,Weight,200g,DAL-AMC-200,200,30,179,
organic-chaat-masala,Organic Chaat Masala,"<p>The soul of Indian street food. Our Chaat Masala is a hand-blended mix of organic amchur, black salt, roasted cumin, coriander, black pepper, dried ginger, and chili.</p><p>No artificial flavors, no synthetic ammonium chloride substitute. Sprinkle on fruit chaat, aloo tikki, pani puri water, or simply on sliced cucumber and tomatoes.</p><p><strong>Suggested use:</strong> Fruit chaat, aloo tikki, pani puri, pav bhaji, chaas, salads.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,chaat masala,spice blend,street food,tangy",TRUE,Weight,100g,DAL-CHM-100,100,50,129,
organic-chaat-masala,,,,,,,,Weight,200g,DAL-CHM-200,200,30,229,
organic-chole-masala,Organic Chole Masala,"<p>A specially crafted spice blend designed for the perfect Punjabi chole. Our Chole Masala features organic pomegranate seed powder (anardana), amchur, black cardamom, and a precise balance of whole spice powders.</p><p>No artificial colors (no caramel color). Add it mid-cooking and let the spices bloom into the onion-tomato base for authentic dhaba-style flavor.</p><p><strong>Suggested use:</strong> Chole bhature, chana masala, chana pulao.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,chole masala,chickpea,punjabi,spice blend",TRUE,Weight,100g,DAL-CHO-100,100,50,129,
organic-chole-masala,,,,,,,,Weight,200g,DAL-CHO-200,200,30,229,
organic-pav-bhaji-masala,Organic Pav Bhaji Masala,"<p>Capture the essence of Mumbai's most beloved street food at home. Dalify's Pav Bhaji Masala is a balanced blend of organic coriander, cumin, chili, dry mango powder, and black salt.</p><p>No MSG, no synthetic color — just the real deal. The right blend makes the difference between an okay bhaji and one that has the whole family scraping the pan.</p><p><strong>Suggested use:</strong> Pav bhaji, tawa pulao, masala pav.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,pav bhaji masala,mumbai,street food,spice blend",TRUE,Weight,100g,DAL-PBM-100,100,50,129,
organic-pav-bhaji-masala,,,,,,,,Weight,200g,DAL-PBM-200,200,30,229,
organic-sambar-powder,Organic Sambar Powder,"<p>Authentic South Indian sambar starts with the right powder. Our recipe draws on traditional Tamil and Karnataka blends — featuring organic chana dal, urad dal, coriander, cumin, dried red chilies, and curry leaves, all dry-roasted and ground together.</p><p>The result is a complex, layered powder. Works equally well in rasam and vegetable kootu.</p><p><strong>Suggested use:</strong> Sambar, rasam, vegetable kootu, rice dishes.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,sambar powder,south indian,spice blend,dal",TRUE,Weight,100g,DAL-SAM-100,100,50,119,
organic-sambar-powder,,,,,,,,Weight,200g,DAL-SAM-200,200,30,209,
organic-rasam-powder,Organic Rasam Powder,"<p>A lighter, more peppery blend than sambar powder, specifically tuned for the bright, thin broth of traditional rasam. Our Rasam Powder uses organic black pepper, long pepper, coriander, cumin, and dried curry leaves.</p><p>Make a quick tomato rasam in under 15 minutes, or add a spoonful to hot water and sip it as a comforting digestive tonic.</p><p><strong>Suggested use:</strong> Tomato rasam, pepper rasam, as a digestive drink.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,rasam powder,south indian,digestive,spice blend",TRUE,Weight,100g,DAL-RAS-100,100,50,119,
organic-rasam-powder,,,,,,,,Weight,200g,DAL-RAS-200,200,30,209,
organic-kitchen-king-masala,Organic Kitchen King Masala,"<p>An all-purpose North Indian masala that does exactly what its name promises — it rules the kitchen. Our Kitchen King is a versatile blend suited for everything from paneer butter masala to mixed vegetable curry. Made from 15+ organic spice ingredients with no fillers, no artificial flavor enhancers.</p><p><strong>Suggested use:</strong> Paneer dishes, mixed veg curries, dal, stuffed parathas.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,kitchen king,all purpose masala,north indian,spice blend",TRUE,Weight,100g,DAL-KKM-100,100,50,139,
organic-kitchen-king-masala,,,,,,,,Weight,200g,DAL-KKM-200,200,30,249,
organic-biryani-masala,Organic Biryani Masala,"<p>Biryani deserves a masala as special as the dish itself. Our Biryani Masala is a whole-spice blend featuring organic star anise, mace, nutmeg, black cardamom, green cardamom, cloves, cinnamon, and bay leaves.</p><p>Each jar is freshly blended in small batches. No shortcuts. No rice flour fillers.</p><p><strong>Suggested use:</strong> Chicken biryani, lamb biryani, veg biryani, pulao.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spice Blends,"organic,biryani masala,spice blend,aromatic,whole spices",TRUE,Weight,50g,DAL-BIM-50,50,60,149,
organic-biryani-masala,,,,,,,,Weight,100g,DAL-BIM-100,100,40,269,
organic-kasuri-methi,Organic Dried Fenugreek Leaves (Kasuri Methi),"<p>The finishing touch that elevates butter chicken, paneer tikka masala, and countless other North Indian dishes. Kasuri Methi carries a slight bitterness and an intoxicating aroma when crushed between your palms before adding.</p><p>Dalify's organic dried methi leaves contain no artificial green coloring (a common adulteration in cheaper brands).</p><p><strong>Suggested use:</strong> Butter chicken, paneer dishes, parathas, aloo dishes, dal.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Spices,"organic,kasuri methi,fenugreek leaves,dried herbs",TRUE,Weight,25g,DAL-KMT-25,25,60,89,
organic-kasuri-methi,,,,,,,,Weight,50g,DAL-KMT-50,50,40,159,
organic-basmati-rice-aged,Organic Aged Premium Basmati Rice,"<p>Nothing compares to properly aged basmati. Dalify's Premium Aged Basmati comes from the foothills of the Himalayas — Dehradun and Karnal — and is aged for a minimum of 12 months to develop the signature long, non-sticky grain and that unmistakable fragrance.</p><p>Certified organic, parboiling-free, and free from synthetic aging agents. Cook at 1:1.5 (rice:water) for perfect separate grains every time.</p><p><strong>Suggested use:</strong> Biryani, pulao, steamed rice, khichdi, fried rice.</p>",Dalify,Food & Drink > Food > Grains > Rice,Grains,"organic,basmati rice,aged,premium,biryani,dehradun",TRUE,Weight,500g,DAL-BAS-500,500,40,229,
organic-basmati-rice-aged,,,,,,,,Weight,1kg,DAL-BAS-1000,1000,30,419,
organic-basmati-rice-aged,,,,,,,,Weight,2kg,DAL-BAS-2000,2000,20,789,
organic-sona-masoori-rice,Organic Sona Masoori Rice,"<p>The everyday rice of South India — loved for its light texture, medium grain, and gentle starch that makes it ideal for everyday meals without weighing you down. Dalify's Sona Masoori is sourced directly from farms in Andhra Pradesh and Telangana, certified organic.</p><p>Lower glycemic index than standard white rice. Cooks beautifully in a pressure cooker or rice cooker.</p><p><strong>Suggested use:</strong> Steamed rice, curd rice, lemon rice, pongal, rice porridge.</p>",Dalify,Food & Drink > Food > Grains > Rice,Grains,"organic,sona masoori,rice,south indian,everyday",TRUE,Weight,1kg,DAL-SON-1000,1000,30,199,
organic-sona-masoori-rice,,,,,,,,Weight,2kg,DAL-SON-2000,2000,20,369,
organic-sona-masoori-rice,,,,,,,,Weight,5kg,DAL-SON-5000,5000,10,849,
organic-red-rice,Organic Red Rice (Kerala Matta),"<p>Rich in anthocyanins and iron, red rice has been a staple of Kerala households for generations. Dalify sources Matta (Rosematta) red parboiled rice from certified farms in Palakkad, Kerala.</p><p>Its slightly nutty, earthy flavor pairs beautifully with Kerala curries. The bran layer is retained, making it a whole grain option that supports sustained energy.</p><p><strong>Suggested use:</strong> Steamed rice with Kerala curries, rice porridge, rice cakes.</p>",Dalify,Food & Drink > Food > Grains > Rice,Grains,"organic,red rice,matta rice,kerala,whole grain",TRUE,Weight,1kg,DAL-RED-1000,1000,30,219,
organic-red-rice,,,,,,,,Weight,2kg,DAL-RED-2000,2000,20,399,
organic-brown-basmati,Organic Brown Basmati Rice,"<p>All the fragrance of premium basmati with the added nutrition of the bran layer. Our Brown Basmati is organically grown in the Himalayan foothill region, minimally processed to retain the bran and germ.</p><p>Higher in fiber, B vitamins, and magnesium than white rice. A smarter choice for everyday cooking that doesn't sacrifice aromatic quality.</p><p><strong>Suggested use:</strong> Pulao, biryani, everyday rice, grain bowls.</p>",Dalify,Food & Drink > Food > Grains > Rice,Grains,"organic,brown basmati,whole grain,fiber,healthy rice",TRUE,Weight,500g,DAL-BRN-500,500,40,249,
organic-brown-basmati,,,,,,,,Weight,1kg,DAL-BRN-1000,1000,30,449,
organic-foxtail-millet,Organic Foxtail Millet (Kangni),"<p>Ancient grains are having a well-deserved renaissance, and foxtail millet leads the pack. Rich in complex carbohydrates, protein, and iron, kangni has been cultivated in India for over 7,000 years. Dalify sources this from dryland organic farms in Andhra Pradesh.</p><p>Cook it like rice (1:2 ratio) for a nutty, satisfying grain. Naturally gluten-free.</p><p><strong>Suggested use:</strong> Cooked like rice, upma, khichdi, rotis, porridge.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,foxtail millet,kangni,gluten-free,ancient grains",TRUE,Weight,500g,DAL-FOX-500,500,40,179,
organic-foxtail-millet,,,,,,,,Weight,1kg,DAL-FOX-1000,1000,30,329,
organic-pearl-millet,Organic Pearl Millet (Bajra),"<p>The grain of Rajasthan's desert warriors. Bajra is one of the most nutritious millets — high in protein, iron, and phosphorus, and exceptionally heat-tolerant. Dalify's bajra comes from Rajasthan and Gujarat organic farms.</p><p>Make bajra roti, add to soups, or use bajra flour for porridge in winter. Naturally gluten-free and incredibly filling.</p><p><strong>Suggested use:</strong> Bajra roti, khichdi, porridge, flour for flatbreads.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,bajra,pearl millet,gluten-free,rajasthan",TRUE,Weight,500g,DAL-PRL-500,500,40,149,
organic-pearl-millet,,,,,,,,Weight,1kg,DAL-PRL-1000,1000,30,269,
organic-finger-millet,Organic Finger Millet (Ragi / Nachni),"<p>Ragi is one of the most calcium-rich grains on earth — making it invaluable for vegetarian diets. Our certified organic finger millet from Karnataka is milled to a fine flour that's perfect for ragi mudde, ragi dosa, or ragi porridge for toddlers and seniors alike.</p><p>Deep earthy flavor and a naturally dark brown color. Gluten-free.</p><p><strong>Suggested use:</strong> Ragi mudde, ragi dosa, ragi porridge, rotis, malt drinks.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,ragi,finger millet,nachni,calcium,gluten-free",TRUE,Weight,500g,DAL-RAG-500,500,40,169,
organic-finger-millet,,,,,,,,Weight,1kg,DAL-RAG-1000,1000,30,309,
organic-little-millet,Organic Little Millet (Samai),"<p>One of the smallest and most nutritious of the millet family. Little millet is light on the stomach, high in fiber, and perfect as a rice substitute for those managing blood sugar.</p><p>Cook it as plain rice, use it in pongal or khichdi, or grind into flour for pancakes and rotis. Dalify's organic samai comes from Karnataka.</p><p><strong>Suggested use:</strong> Plain cooked grain, pongal, khichdi, rotis, porridge.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,little millet,samai,gluten-free,diabetic-friendly",TRUE,Weight,500g,DAL-LIT-500,500,40,169,
organic-little-millet,,,,,,,,Weight,1kg,DAL-LIT-1000,1000,30,309,
organic-kodo-millet,Organic Kodo Millet (Varagu),"<p>Known as the 'poor man's superfood' in Tamil Nadu, kodo millet is experiencing a revival as a diabetes-friendly grain. It cooks to a soft, slightly sticky consistency — ideal for traditional South Indian preparations and as a rice substitute in everyday cooking.</p><p>Dalify sources certified organic varagu from Tamil Nadu farms.</p><p><strong>Suggested use:</strong> Cooked rice substitute, pongal, idli, dosa batter.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,kodo millet,varagu,diabetic-friendly,ancient grain",TRUE,Weight,500g,DAL-KOD-500,500,40,169,
organic-kodo-millet,,,,,,,,Weight,1kg,DAL-KOD-1000,1000,30,309,
organic-jowar,Organic Sorghum (Jowar),"<p>The grain that powered generations of Marathas. Jowar is high in protein and iron, and makes some of the most satisfying rotis in Indian cuisine.</p><p>Dalify's organic jowar comes from Maharashtra and Karnataka. Use jowar flour for bhakri or mix with wheat flour for everyday rotis with extra nutrition. Also excellent puffed as a snack grain. Gluten-free.</p><p><strong>Suggested use:</strong> Jowar roti, mixed-grain flour, puffed snacks, porridge.</p>",Dalify,Food & Drink > Food > Grains,Millets,"organic,jowar,sorghum,gluten-free,maharashtra",TRUE,Weight,500g,DAL-JOW-500,500,40,149,
organic-jowar,,,,,,,,Weight,1kg,DAL-JOW-1000,1000,30,269,
organic-amaranth,Organic Amaranth (Rajgira),"<p>Amaranth is unusually high in protein (including lysine — an amino acid rare in grains) and calcium. Dalify sources organic rajgira from Maharashtra.</p><p>Use it in porridge, laddoos (rajgira laddoo are a Navratri staple), or pop the tiny seeds in a dry pan for a crunchy topping. Naturally gluten-free.</p><p><strong>Suggested use:</strong> Rajgira laddoo, porridge, flour for rotis, popped grain snack.</p>",Dalify,Food & Drink > Food > Grains,Ancient Grains,"organic,amaranth,rajgira,navratri,gluten-free,high protein",TRUE,Weight,250g,DAL-AMA-250,250,50,159,
organic-amaranth,,,,,,,,Weight,500g,DAL-AMA-500,500,30,289,
organic-khapli-wheat,Organic Khapli Wheat Berries (Emmer),"<p>Move over, processed atta. Dalify offers whole khapli (emmer) wheat berries — an ancient variety of wheat with a lower gluten content and higher fiber, protein, and mineral profile than modern wheat. Sourced from organic farms in Maharashtra.</p><p>Mill at home or soak and cook whole for a hearty grain bowl.</p><p><strong>Suggested use:</strong> Homemade stone-mill flour, grain bowls, wheat porridge.</p>",Dalify,Food & Drink > Food > Grains,Ancient Grains,"organic,khapli wheat,emmer,ancient wheat,low gluten",TRUE,Weight,500g,DAL-KHP-500,500,30,199,
organic-khapli-wheat,,,,,,,,Weight,1kg,DAL-KHP-1000,1000,20,369,
organic-chakki-atta,Organic Whole Wheat Flour (Chakki Atta),"<p>Stone-milled from premium whole wheat berries, our chakki atta retains the germ and bran that commercial refiners discard. The result is a flour with a warm, nutty flavor, higher fiber content, and a natural golden-brown color.</p><p>Certified organic, no bleaching agents. Makes rotis with a slightly more rustic texture that holds up beautifully to thick gravies.</p><p><strong>Suggested use:</strong> Roti, paratha, puri, thepla, chapati.</p>",Dalify,Food & Drink > Food > Grains,Flour,"organic,wheat flour,chakki atta,whole wheat,roti",TRUE,Weight,1kg,DAL-ATT-1000,1000,40,179,
organic-chakki-atta,,,,,,,,Weight,2kg,DAL-ATT-2000,2000,20,329,
organic-chakki-atta,,,,,,,,Weight,5kg,DAL-ATT-5000,5000,10,749,
organic-quinoa,Organic White Quinoa,"<p>Quinoa has found a warm home in health-conscious Indian kitchens. Dalify sources certified organic white quinoa for its mild flavor and fluffy texture when cooked. Complete protein (all 9 essential amino acids), gluten-free, and quick-cooking (15 minutes).</p><p>Use it as a rice substitute in pulao, add to salads, or cook as a morning porridge with dates and coconut.</p><p><strong>Suggested use:</strong> Pulao, salads, grain bowls, morning porridge, khichdi.</p>",Dalify,Food & Drink > Food > Grains,Ancient Grains,"organic,quinoa,complete protein,gluten-free,superfood",TRUE,Weight,250g,DAL-QUI-250,250,50,249,
organic-quinoa,,,,,,,,Weight,500g,DAL-QUI-500,500,30,449,
organic-buckwheat,Organic Buckwheat (Kuttu),"<p>A Navratri fasting grain with year-round nutritional value. Buckwheat is gluten-free, high in rutin, and has a satisfying, slightly nutty flavor.</p><p>Dalify's organic kuttu is sourced from Himachal Pradesh farms. Use the flour for kuttu puris or pancakes; cook the groats like a grain for bowls and porridge.</p><p><strong>Suggested use:</strong> Kuttu puri, pancakes, grain bowls, porridge.</p>",Dalify,Food & Drink > Food > Grains,Ancient Grains,"organic,buckwheat,kuttu,navratri fasting,gluten-free",TRUE,Weight,250g,DAL-BUC-250,250,50,179,
organic-buckwheat,,,,,,,,Weight,500g,DAL-BUC-500,500,30,329,
organic-poha,Organic Poha (Flattened Rice),"<p>Dalify's Organic Poha is made from certified organic rice, lightly flattened and dried without any bleaching or chemical processing.</p><p>Available in thin and thick varieties. Thin poha dissolves quickly for chivda; thick poha holds shape for the classic breakfast poha with mustard, peas, and potatoes.</p><p><strong>Suggested use:</strong> Breakfast poha, chivda, sweet rice preparations, quick snacks.</p>",Dalify,Food & Drink > Food > Grains,Grains,"organic,poha,flattened rice,breakfast,chivda",TRUE,Thickness,Thick,DAL-POH-T500,500,40,119,
organic-poha,,,,,,,,Thickness,Thin,DAL-POH-L500,500,40,119,
